NRIC,Case_Number,Date,Description,Year_of_Assessment,Payable,Paid,Balance,Bank_Appointment_Date
S1111111A,TX001,11 Apr 2025,Original Assessment Due on 26 May 2025,2025,68.99,0.00,68.99,
S1111111A,TX001,16 Apr 2025,PayNow QR Payment,2025,0.00,68.99,0.00,
S2222222B,TX002,05 Mar 2025,Original Assessment Due on 15 Apr 2025,2025,1250.00,0.00,1250.00,
S2222222B,TX002,10 Mar 2025,GIRO Payment,2025,0.00,500.00,750.00,25 Mar 2025
S2222222B,TX002,20 Mar 2025,GIRO Payment,2025,0.00,750.00,0.00,
S3333333C,TX003,01 Feb 2025,Original Assessment Due on 31 Mar 2025,2025,3500.50,0.00,3500.50,
S3333333C,TX003,15 Feb 2025,Online Payment,2025,0.00,1500.00,2000.50,20 Feb 2025
S3333333C,TX003,28 Feb 2025,Cash Payment,2025,0.00,2000.50,0.00,
S7777777D,TX004,20 Jan 2025,Original Assessment Due on 28 Feb 2025,2025,850.00,0.00,850.00,
S7777777D,TX004,25 Jan 2025,PayNow Payment,2025,0.00,850.00,0.00,
